,Name,Type,Park Code,Org Code,Region,NameType
143,FORT VANCOUVER      ,NHS,FOVA,9430,PWR,FORT VANCOUVER NHS
146,FOSSIL BUTTE    ,NM,FOBU,1468,IMR,FOSSIL BUTTE NM
149,FREDRICK LAW OLMSTED  ,NHS,FRLA,1850,NER,FREDRICK LAW OLMSTED NHS
150,FREDRICKSBURG & SPOTSYLVANIA ,NMP,FRSP,4370/4378/ 4379,NER,FREDRICKSBURG & SPOTSYLVANIA NMP
151,FREEDOM RIDERS,NM,FRRI,5740,SER,FREEDOM RIDERS NM
152,FRIENDSHIP HILL  ,NHS,FRHI,4360,NER,FRIENDSHIP HILL NHS
155,GATEWAY  ,NRA,GATE,1770,NER,GATEWAY NRA
158,GENERAL GRANT  ,NMEM,GEGR,1814,NER,GENERAL GRANT NMEM
159,GEORGE ROGERS CLARK    ,NHP,GERO,6402,MWR,GEORGE ROGERS CLARK NHP
160,GEORGE WASHINGTON BIRTHPLACE,NM,GEWA,4380,NER,GEORGE WASHINGTON BIRTHPLACE NM
161,GEORGE WASHINGTON CARVER     ,NM,GWCA,6360,MWR,GEORGE WASHINGTON CARVER NM
162,"GEORGE WASHINGTON MEMORIAL PARKWAY (Arlington House, Great Falls Park, Glen Echo Park, Clara Barton NHS, Arlington Cemetery, Jones Point Park, Fort Hunt Park, Theodore Roosevelt Island NM)",MEMPW,GWMP,3301-3321,NCR,"GEORGE WASHINGTON MEMORIAL PARKWAY (Arlington House, Great Falls Park, Glen Echo Park, Clara Barton NHS, Arlington Cemetery, Jones Point Park, Fort Hunt Park, Theodore Roosevelt Island NM) MEMPW"
163,GETTYSBURG  ,NMP,GETT,4400,NER,GETTYSBURG NMP
164,GILA CLIFF DWELLINGS    ,NM,GICL,7250,IMR,GILA CLIFF DWELLINGS NM
165,GLACIER    ,NP,GLAC,1430 - 1437,IMR,GLACIER NP
166,GLACIER BAY    ,NP,GLBA,9815,AKR,GLACIER BAY NP
167,GLACIER BAY     ,NPRES,GLBA,9815,AKR,GLACIER BAY NPRES
168,GLEN CANYON    ,NRA,GLCA,1440-1444,IMR,GLEN CANYON NRA
169,GOLDEN GATE    ,NRA,GOGA,8140 - 8180,PWR,GOLDEN GATE NRA
170,GOLDEN SPIKE      ,NHS,GOSP,1450,IMR,GOLDEN SPIKE NHS
171,GOVERNORS ISLAND,NM,GOIS,1766,NER,GOVERNORS ISLAND NM
172,GRAND CANYON    ,NP,GRCA,8211-8227,IMR,GRAND CANYON NP
173,GRAND CANYON PARASHANT,NM,PARA,8230,PWR,GRAND CANYON PARASHANT NM
174,GRAND PORTAGE     ,NM,GRPO,6150,MWR,GRAND PORTAGE NM
175,GRAND TETON    ,NP,GRTE,1460 - 1467,IMR,GRAND TETON NP
